subject_id,partially_nan_rois
sub-pixar016,168
sub-pixar016,168
sub-pixar016,168
sub-pixar016,168
sub-pixar061,168
sub-pixar061,168
sub-pixar061,168
sub-pixar061,168
sub-pixar061,168
sub-pixar061,168
sub-pixar085,168
sub-pixar085,168
sub-pixar085,168
sub-pixar085,168
sub-pixar085,168
sub-pixar085,168
sub-pixar111,168
sub-pixar111,168
sub-pixar111,168
sub-pixar111,168
sub-pixar111,168
sub-pixar111,168
sub-pixar129,168
sub-pixar129,168
sub-pixar129,168
sub-pixar129,168
sub-pixar129,168
sub-pixar129,168
sub-pixar053,168
sub-pixar053,168
sub-pixar053,168
sub-pixar053,168
sub-pixar053,168
sub-pixar053,168
sub-pixar024,168
sub-pixar024,168
sub-pixar024,168
sub-pixar024,168
sub-pixar024,168
sub-pixar024,168
sub-pixar123,168
sub-pixar123,168
sub-pixar123,168
sub-pixar123,168
sub-pixar123,168
sub-pixar123,168
sub-pixar154,168
sub-pixar154,168
sub-pixar154,168
sub-pixar154,168
sub-pixar154,168
sub-pixar154,168
sub-pixar059,168
sub-pixar059,168
sub-pixar059,168
sub-pixar059,168
sub-pixar059,168
sub-pixar059,168
sub-pixar127,168
sub-pixar127,168
sub-pixar127,168
sub-pixar127,168
sub-pixar127,168
sub-pixar127,168
sub-pixar150,168
sub-pixar150,168
sub-pixar150,168
sub-pixar150,168
sub-pixar150,168
sub-pixar150,168
sub-pixar057,168
sub-pixar057,168
sub-pixar057,168
sub-pixar057,168
sub-pixar057,168
sub-pixar057,168
sub-pixar020,168
sub-pixar020,168
sub-pixar020,168
sub-pixar020,168
sub-pixar020,168
sub-pixar020,168
sub-pixar018,168
sub-pixar018,168
sub-pixar018,168
sub-pixar018,168
sub-pixar018,168
sub-pixar115,168
sub-pixar115,168
sub-pixar115,168
sub-pixar115,168
sub-pixar115,168
sub-pixar115,168
sub-pixar081,168
sub-pixar081,168
sub-pixar081,168
sub-pixar081,168
sub-pixar081,168
sub-pixar081,168
sub-pixar012,168
sub-pixar012,168
sub-pixar012,168
sub-pixar012,168
sub-pixar012,168
sub-pixar012,168
sub-pixar065,168
sub-pixar065,168
sub-pixar065,168
sub-pixar065,168
sub-pixar065,168
sub-pixar065,168
sub-pixar149,168
sub-pixar149,168
sub-pixar149,168
sub-pixar149,168
sub-pixar149,168
sub-pixar149,168
sub-pixar044,168
sub-pixar044,168
sub-pixar044,168
sub-pixar044,168
sub-pixar044,168
sub-pixar044,168
sub-pixar033,168
sub-pixar033,168
sub-pixar033,168
sub-pixar033,168
sub-pixar033,168
sub-pixar033,168
sub-pixar134,168
sub-pixar134,168
sub-pixar134,168
sub-pixar134,168
sub-pixar134,168
sub-pixar134,168
sub-pixar143,168
sub-pixar143,168
sub-pixar143,168
sub-pixar143,168
sub-pixar143,168
sub-pixar143,168
sub-pixar039,168
sub-pixar039,168
sub-pixar039,168
sub-pixar039,168
sub-pixar039,168
sub-pixar039,168
sub-pixar098,168
sub-pixar098,168
sub-pixar098,168
sub-pixar098,168
sub-pixar098,168
sub-pixar098,168
sub-pixar001,168
sub-pixar001,168
sub-pixar001,168
sub-pixar001,168
sub-pixar001,168
sub-pixar001,168
sub-pixar076,168
sub-pixar076,168
sub-pixar076,168
sub-pixar076,168
sub-pixar076,168
sub-pixar076,168
sub-pixar106,168
