subject_id,fully_nan_rois
sub-pixar059,0
sub-pixar059,0
sub-pixar059,0
sub-pixar059,0
sub-pixar127,0
sub-pixar127,0
sub-pixar127,0
sub-pixar127,0
sub-pixar127,0
sub-pixar127,0
sub-pixar150,0
sub-pixar150,0
sub-pixar150,0
sub-pixar150,0
sub-pixar150,0
sub-pixar150,0
sub-pixar057,0
sub-pixar057,0
sub-pixar057,0
sub-pixar057,0
sub-pixar057,0
sub-pixar057,0
sub-pixar020,0
sub-pixar020,0
sub-pixar020,0
sub-pixar020,0
sub-pixar020,0
sub-pixar020,0
sub-pixar018,0
sub-pixar018,0
sub-pixar018,0
sub-pixar018,0
sub-pixar018,0
sub-pixar115,0
sub-pixar115,0
sub-pixar115,0
sub-pixar115,0
sub-pixar115,0
sub-pixar115,0
sub-pixar081,0
sub-pixar081,0
sub-pixar081,0
sub-pixar081,0
sub-pixar081,0
sub-pixar081,0
sub-pixar012,0
sub-pixar012,0
sub-pixar012,0
sub-pixar012,0
sub-pixar012,0
sub-pixar012,0
sub-pixar065,0
sub-pixar065,0
sub-pixar065,0
sub-pixar065,0
sub-pixar065,0
sub-pixar065,0
sub-pixar149,0
sub-pixar149,0
sub-pixar149,0
sub-pixar149,0
sub-pixar149,0
sub-pixar149,0
sub-pixar044,0
sub-pixar044,0
sub-pixar044,0
sub-pixar044,0
sub-pixar044,0
sub-pixar044,0
sub-pixar033,0
sub-pixar033,0
sub-pixar033,0
sub-pixar033,0
sub-pixar033,0
sub-pixar033,0
sub-pixar134,0
sub-pixar134,0
sub-pixar134,0
sub-pixar134,0
sub-pixar134,0
sub-pixar134,0
sub-pixar143,0
sub-pixar143,0
sub-pixar143,0
sub-pixar143,0
sub-pixar143,0
sub-pixar143,0
sub-pixar039,0
sub-pixar039,0
sub-pixar039,0
sub-pixar039,0
sub-pixar039,0
sub-pixar039,0
sub-pixar098,0
sub-pixar098,0
sub-pixar098,0
sub-pixar098,0
sub-pixar098,0
sub-pixar098,0
sub-pixar001,0
sub-pixar001,0
sub-pixar001,0
sub-pixar001,0
sub-pixar001,0
sub-pixar001,0
sub-pixar076,0
sub-pixar076,0
sub-pixar076,0
sub-pixar076,0
sub-pixar076,0
sub-pixar076,0
sub-pixar106,0
sub-pixar106,0
sub-pixar106,0
sub-pixar106,0
sub-pixar106,0
sub-pixar106,0
sub-pixar092,0
sub-pixar092,0
sub-pixar092,0
sub-pixar092,0
sub-pixar092,0
sub-pixar092,0
sub-pixar071,0
sub-pixar071,0
sub-pixar071,0
sub-pixar071,0
sub-pixar071,0
sub-pixar071,0
sub-pixar006,0
sub-pixar006,0
sub-pixar006,0
sub-pixar006,0
sub-pixar006,0
sub-pixar006,0
sub-pixar095,0
sub-pixar095,0
sub-pixar095,0
sub-pixar095,0
sub-pixar095,0
sub-pixar095,0
sub-pixar101,0
sub-pixar101,0
sub-pixar101,0
sub-pixar101,0
sub-pixar101,0
sub-pixar101,0
sub-pixar034,0
sub-pixar034,0
sub-pixar034,0
sub-pixar034,0
sub-pixar034,0
sub-pixar034,0
sub-pixar043,0
sub-pixar043,0
sub-pixar043,0
sub-pixar043,0
sub-pixar043,0
sub-pixar043,0
sub-pixar139,0
sub-pixar139,0
sub-pixar139,0
sub-pixar139,0
sub-pixar139,0
sub-pixar139,0
sub-pixar049,0
sub-pixar049,0
sub-pixar049,0
sub-pixar049,0
sub-pixar049,0
sub-pixar049,0
sub-pixar144,0
sub-pixar144,0
sub-pixar144,0
sub-pixar144,0
sub-pixar144,0
sub-pixar144,0
sub-pixar133,0
sub-pixar133,0
sub-pixar133,0
sub-pixar133,0
sub-pixar133,0
sub-pixar133,0
sub-pixar086,0
sub-pixar086,0
sub-pixar086,0
sub-pixar086,0
sub-pixar086,0
sub-pixar086,0
sub-pixar112,0
sub-pixar112,0
sub-pixar112,0
sub-pixar112,0
sub-pixar112,0
sub-pixar112,0
sub-pixar068,0
sub-pixar068,0
sub-pixar068,0
sub-pixar068,0
sub-pixar068,0
sub-pixar068,0
sub-pixar118,0
sub-pixar118,0
sub-pixar118,0
sub-pixar118,0
sub-pixar118,0
sub-pixar118,0
sub-pixar062,0
sub-pixar062,0
sub-pixar062,0
sub-pixar062,0
sub-pixar062,0
sub-pixar062,0
sub-pixar015,0
sub-pixar015,0
sub-pixar015,0
sub-pixar015,0
sub-pixar015,0
sub-pixar015,0
sub-pixar120,0
sub-pixar120,0
sub-pixar120,0
sub-pixar120,0
sub-pixar120,0
sub-pixar120,0
sub-pixar027,0
sub-pixar027,0
sub-pixar027,0
sub-pixar027,0
sub-pixar027,0
sub-pixar027,0
sub-pixar050,0
sub-pixar050,0
sub-pixar050,0
sub-pixar050,0
sub-pixar050,0
sub-pixar050,0
